id,russian,type,gender,aspect,english,archived
272,давно́,adverb,,,long ago; for a long time,FALSE
273,слу́шать,verb,,imperfective,to listen,FALSE
274,пря́мо,adverb,,,straight; directly; right,FALSE
275,разгово́р,noun,masculine,,conversation,FALSE
276,до́лго,adverb,,,for a long time; long,FALSE
277,нельзя́,adverb,,,one may not,FALSE
278,похо́жий,adjective,,,similar; alike,FALSE
279,пра́во,noun,neuter,,right; law,FALSE
280,лес,noun,masculine,,forest; wood,FALSE
281,пять,num,,,five,FALSE
282,гляде́ть,verb,,imperfective,to gaze; to look,FALSE
283,сын,noun,masculine,,son,FALSE
284,путь,noun,masculine,,way; path; journey,FALSE
285,ты́сяча,num,,,thousand,FALSE
286,пора́,noun,feminine,,time; it is time,FALSE
287,кра́сный,adjective,,,red,FALSE
288,сесть,verb,,perfective,to sit down,FALSE
289,оно́,pronoun,,,it,FALSE
290,кро́ме,preposition,,,except; besides,FALSE
291,стена́,noun,feminine,,wall,FALSE
292,остава́ться,verb,,imperfective,to remain; to stay,FALSE
293,ж,particle,,,and; but (short particle),FALSE
294,высо́кий,adjective,,,high; tall,FALSE
295,хоте́ться,verb,,imperfective,to want; to feel like,FALSE
296,соверше́нно,adverb,,,completely; perfectly,FALSE
297,поэ́тому,adverb,,,therefore; that is why,FALSE
298,написа́ть,verb,,perfective,to write,FALSE
299,пусть,particle,,,let; let it (particle),FALSE
300,ра́нний,adjective,,,early,FALSE
301,чита́ть,verb,,imperfective,to read,FALSE
302,чу́вствовать,verb,,imperfective,to feel,FALSE
303,спина́,noun,feminine,,back,FALSE
304,ме́сяц,noun,masculine,,month,FALSE
305,це́лый,adjective,,,whole; entire,FALSE
306,вести́,verb,,imperfective,to lead; to conduct,FALSE
307,молодо́й,adjective,,,young,FALSE
308,огромный,adjective,,,enormous; huge,FALSE
309,те́ло,noun,neuter,,body,FALSE
310,настоя́щий,adjective,,,real; genuine; present,FALSE
311,продолжа́ть,verb,,imperfective,to continue,FALSE
312,то́чно,adverb,,,exactly; precisely,FALSE
313,язы́к,noun,masculine,,language; tongue,FALSE
314,ма́ма,noun,feminine,,mum; mummy,FALSE
315,среди́,preposition,,,among; amidst,FALSE
316,стари́к,noun,masculine,,old man,FALSE
317,успе́ть,verb,,perfective,to manage; to have time,FALSE
318,смерть,noun,feminine,,death,FALSE
319,власть,noun,feminine,,power; authority,FALSE
320,ма́льчик,noun,masculine,,boy,FALSE
321,та́кже,adverb,,,also; as well,FALSE
322,брать,verb,,imperfective,to take,FALSE
323,о́браз,noun,masculine,,image; form; way,FALSE
324,письмо́,noun,neuter,,letter,FALSE
325,живо́й,adjective,,,living; alive,FALSE
326,отноше́ние,noun,neuter,,relationship; attitude,FALSE
327,се́рдце,noun,neuter,,heart,FALSE
328,ко,preposition,,,to (variant of к),FALSE
329,нача́льник,noun,masculine,,boss; head; chief,FALSE
330,пройти́,verb,,perfective,to pass; to go through,FALSE
331,начина́ть,verb,,imperfective,to begin; to start,FALSE
332,вокру́г,preposition,,,around; round,FALSE
333,появи́ться,verb,,perfective,to appear,FALSE
334,чёрный,adjective,,,black,FALSE
335,де́вушка,noun,feminine,,girl; young woman,FALSE
336,солдат,noun,masculine,,soldier,FALSE
337,иногда́,adverb,,,sometimes,FALSE
338,забы́ть,verb,,perfective,to forget,FALSE
339,вспо́мнить,verb,,perfective,to remember; to recall,FALSE
340,не́бо,noun,neuter,,sky,FALSE
341,зате́м,adverb,,,then; after that,FALSE
342,систе́ма,noun,feminine,,system,FALSE
343,во́здух,noun,masculine,,air,FALSE
344,о́ба,num,,,both,FALSE
345,со́бственный,adjective,,,one's own; personal,FALSE
346,пыта́ться,verb,,imperfective,to try; to attempt,FALSE
347,находи́ться,verb,,imperfective,to be located,FALSE
348,держать,verb,,imperfective,to hold; to keep,FALSE
349,проси́ть,verb,,imperfective,to ask; to request,FALSE
350,показа́ть,verb,,perfective,to show,FALSE
351,ра́зный,adjective,,,different; various,FALSE
352,ребя́та,noun,plural,,lads; boys; guys,FALSE
353,брат,noun,masculine,,brother,FALSE
354,кварти́ра,noun,feminine,,flat; apartment,FALSE
355,отку́да,adverb,,,from where; whence,FALSE
356,выходи́ть,verb,,imperfective,to go out; to exit,FALSE
357,четы́ре,num,,,four,FALSE
358,подня́ть,verb,,perfective,to raise; to lift,FALSE
359,генера́л,noun,masculine,,general,FALSE
360,называ́ть,verb,,imperfective,to call; to name,FALSE
361,тре́тий,adjective,,,third,FALSE
362,посла́ть,verb,,perfective,to send,FALSE
363,подойти́,verb,,perfective,to approach,FALSE
364,рассказа́ть,verb,,perfective,to tell; to narrate,FALSE
365,осо́бенно,adverb,,,especially; particularly,FALSE
366,кровь,noun,feminine,,blood,FALSE
367,встать,verb,,perfective,to get up; to stand up,FALSE
368,шаг,noun,masculine,,step,FALSE
369,спра́шивать,verb,,imperfective,to ask (repeatedly),FALSE
370,хозя́ин,noun,masculine,,master; owner; host,FALSE
371,внима́ние,noun,neuter,,attention,FALSE
372,сле́довать,verb,,imperfective,to follow,FALSE
373,поста́вить,verb,,perfective,to put; to set; to place,FALSE
374,бро́сить,verb,,perfective,to throw,FALSE
375,вро́де,preposition,,,like; sort of,FALSE
376,вели́кий,adjective,,,great,FALSE
377,наприме́р,adverb,,,for example,FALSE
378,оста́вить,verb,,perfective,to leave; to abandon,FALSE
379,туда́,adverb,,,there; that way,FALSE
380,действи́тельно,adverb,,,really; truly; indeed,FALSE
381,ма́ло,adverb,,,little; not much,FALSE
382,шко́ла,noun,feminine,,school,FALSE
383,равно́,adverb,,,equally; all the same,FALSE
384,труд,noun,masculine,,labour; work; effort,FALSE
385,капита́н,noun,masculine,,captain,FALSE
386,сюда́,adverb,,,here; this way,FALSE
387,сли́шком,adverb,,,too; too much,FALSE
388,сле́дующий,adjective,,,next; following,FALSE
389,тяжёлый,adjective,,,heavy; difficult,FALSE
390,па́рень,noun,masculine,,lad; fellow; guy,FALSE
391,гру́ппа,noun,feminine,,group,FALSE
392,со́лнце,noun,neuter,,sun,FALSE
393,любо́вь,noun,feminine,,love,FALSE
394,отвеча́ть,verb,,imperfective,to answer; to reply,FALSE
395,у́хо,noun,neuter,,ear,FALSE
396,уходи́ть,verb,,imperfective,to leave; to go away,FALSE
397,неде́ля,noun,feminine,,week,FALSE
398,войти́,verb,,perfective,to enter; to go in,FALSE
399,чтоб,conjunction,,,so that; in order to,FALSE
400,расска́зывать,verb,,imperfective,to tell; to narrate,FALSE
401,молча́ть,verb,,imperfective,to be silent,FALSE
402,отве́т,noun,masculine,,answer; reply,FALSE
403,деся́ть,num,,,ten,FALSE
404,спать,verb,,imperfective,to sleep,FALSE
405,гото́вый,adjective,,,ready; prepared,FALSE
406,явля́ться,verb,,imperfective,to be; to constitute,FALSE
407,два́дцать,num,,,twenty,FALSE
408,бе́рег,noun,masculine,,bank; shore,FALSE
409,по́мощь,noun,feminine,,help; assistance,FALSE
410,мужчи́на,noun,masculine,,man,FALSE
411,моме́нт,noun,masculine,,moment,FALSE
412,иска́ть,verb,,imperfective,to look for; to search,FALSE
413,останови́ться,verb,,perfective,to stop,FALSE
414,ли́чный,adjective,,,personal; private,FALSE
415,газе́та,noun,feminine,,newspaper,FALSE
416,дли́нный,adjective,,,long,FALSE
417,ви́дно,adverb,,,evidently; apparently,FALSE
418,про́тив,preposition,,,against; opposite,FALSE
419,ве́рить,verb,,imperfective,to believe,FALSE
420,чу́вство,noun,neuter,,feeling; sense,FALSE
421,поря́док,noun,masculine,,order,FALSE
422,семья́,noun,feminine,,family,FALSE
423,а́рмия,noun,feminine,,army,FALSE
424,немного,adverb,,,a little; a bit,FALSE
425,игра́ть,verb,,imperfective,to play,FALSE
426,возможность,noun,feminine,,possibility; opportunity,FALSE
427,си́льный,adjective,,,strong; powerful,FALSE
428,разве́,particle,,,really?; is it really so?,FALSE
429,впро́чем,adverb,,,however; by the way,FALSE
430,станови́ться,verb,,imperfective,to become,FALSE
431,движе́ние,noun,neuter,,movement; motion,FALSE
432,муж,noun,masculine,,husband,FALSE
433,нос,noun,masculine,,nose,FALSE
434,ти́хо,adverb,,,quietly; softly,FALSE
435,знако́мый,adjective,,,familiar; acquainted,FALSE
436,ого́нь,noun,masculine,,fire,FALSE
437,двор,noun,masculine,,yard; courtyard,FALSE
438,смочь,verb,,perfective,to manage; to be able,FALSE
439,ино́й,adjective,,,other; different,FALSE
440,бежа́ть,verb,,imperfective,to run,FALSE
441,чёрный,noun,masculine,,black (noun),FALSE
442,ско́рый,adjective,,,quick; fast,FALSE
443,наве́рное,adverb,,,probably; perhaps,FALSE
444,прие́хать,verb,,perfective,to arrive (vehicle),FALSE
445,просто́й,adjective,,,simple; plain; ordinary,FALSE
446,приня́ть,verb,,perfective,to accept; to take; to receive,FALSE
447,у́гол,noun,masculine,,corner; angle,FALSE
448,смысл,noun,masculine,,meaning; sense,FALSE
449,откры́ть,verb,,perfective,to open,FALSE
450,общество,noun,neuter,,society,FALSE
451,грудь,noun,feminine,,chest; breast,FALSE
452,вое́нный,adjective,,,military,FALSE
453,происходи́ть,verb,,imperfective,to happen; to occur,FALSE
454,де́рево,noun,neuter,,tree,FALSE
455,не́мец,noun,masculine,,German (man),FALSE
456,губа́,noun,feminine,,lip,FALSE
457,снег,noun,masculine,,snow,FALSE
458,ли́бо,conjunction,,,or; either,FALSE
459,дя́дя,noun,masculine,,uncle,FALSE
460,е́хать,verb,,imperfective,to go; to travel (vehicle),FALSE
461,о́чередь,noun,feminine,,queue; turn,FALSE
462,кой,pronoun,,,which (archaic pronoun),FALSE
463,фо́рма,noun,feminine,,form; uniform,FALSE
464,зако́н,noun,masculine,,law,FALSE
465,собира́ться,verb,,imperfective,to be going to; gather,FALSE
466,показа́ться,verb,,perfective,to seem; to appear,FALSE
467,соба́ка,noun,feminine,,dog,FALSE
468,домо́й,adverb,,,home; homewards,FALSE
469,попа́сть,verb,,perfective,to get into; to hit; to end up,FALSE
470,услы́шать,verb,,perfective,to hear,FALSE
471,приходи́ть,verb,,imperfective,to come; to arrive,FALSE
472,крича́ть,verb,,imperfective,to shout; to cry out,FALSE
473,состоя́ние,noun,neuter,,state; condition,FALSE
474,произойти́,verb,,perfective,to happen; to occur,FALSE
475,сон,noun,masculine,,dream; sleep,FALSE
476,подня́ться,verb,,perfective,to rise; to go up; climb,FALSE
477,ла́дно,adverb,,,all right; OK,FALSE
478,карма́н,noun,masculine,,pocket,FALSE
479,ча́сто,adverb,,,often; frequently,FALSE
480,случи́ться,verb,,perfective,to happen,FALSE
481,зелёный,adjective,,,green,FALSE
482,де́вочка,noun,feminine,,girl (young),FALSE
483,ка́мень,noun,masculine,,stone,FALSE
484,снача́ла,adverb,,,at first; from the start,FALSE
485,ве́тер,noun,masculine,,wind,FALSE
486,пробле́ма,noun,feminine,,problem,FALSE
487,связь,noun,feminine,,connection; link; communication,FALSE
488,стара́ться,verb,,imperfective,to try; to strive,FALSE
489,гость,noun,masculine,,guest,FALSE
490,лу́чший,adjective,,,best,FALSE
491,зуб,noun,masculine,,tooth,FALSE
492,ме́ра,noun,feminine,,measure; extent,FALSE
493,век,noun,masculine,,century; age,FALSE
494,пое́хать,verb,,perfective,to go; to travel (vehicle),FALSE
495,но́мер,noun,masculine,,number,FALSE
496,стра́нный,adjective,,,strange; odd,FALSE
497,стра́шный,adjective,,,terrible; frightening,FALSE
498,сре́дство,noun,neuter,,means; remedy,FALSE
499,еди́нственный,adjective,,,only; sole,FALSE
500,де́йствие,noun,neuter,,action,FALSE
501,ход,noun,masculine,,move; stroke; course,FALSE
502,госуда́рство,noun,neuter,,state,FALSE
503,российский,adjective,,,Russian (relating to Russia),FALSE
504,коро́ткий,adjective,,,short,FALSE
505,уме́ть,verb,,imperfective,to be able to; to know how to,FALSE
506,да́нный,adjective,,,given; this,FALSE
507,необходи́мый,adjective,,,necessary; essential,FALSE
508,глава́,noun,feminine,,head; chapter,FALSE
509,па́ртия,noun,feminine,,party (political),FALSE
510,край,noun,masculine,,edge; region; land,FALSE
511,вперёд,preposition,,,forward; ahead,FALSE
512,река́,noun,feminine,,river,FALSE
513,судьба́,noun,feminine,,fate; destiny,FALSE
514,ро́та,noun,feminine,,company (military),FALSE
515,до́брый,adjective,,,kind; good,FALSE
516,речь,noun,feminine,,speech,FALSE
517,занима́ться,verb,,imperfective,to be occupied with; to study,FALSE
518,вполне́,adverb,,,fully; quite,FALSE
519,положи́ть,verb,,perfective,to put; to lay down,FALSE
520,причи́на,noun,feminine,,reason; cause,FALSE
521,гора́,noun,feminine,,mountain,FALSE
522,ника́к,adverb,,,in no way; by no means,FALSE
523,страх,noun,masculine,,fear,FALSE
524,тёмный,adjective,,,dark,FALSE
525,едва́,adverb,,,hardly; scarcely; barely,FALSE
526,мо́ре,noun,neuter,,sea,FALSE
527,зал,noun,masculine,,hall; room,FALSE
528,серый,adjective,,,grey,FALSE
529,врач,noun,masculine,,doctor; physician,FALSE
530,во́зле,preposition,,,near; beside,FALSE
531,дово́льно,adverb,,,quite; rather; enough,FALSE
532,команди́р,noun,masculine,,commander,FALSE
533,основно́й,adjective,,,basic; main,FALSE
534,ме́дленно,adverb,,,slowly,FALSE
535,я́сно,adverb,,,clearly; it is clear,FALSE
536,боль,noun,feminine,,pain,FALSE
537,господи́н,noun,masculine,,mister; sir; master,FALSE
538,вчера́,adverb,,,yesterday,FALSE
539,вещь,noun,feminine,,thing,FALSE
540,результа́т,noun,masculine,,result,FALSE
541,число́,noun,neuter,,number; date; quantity,FALSE
542,цель,noun,feminine,,aim; goal; target,FALSE
543,нача́ться,verb,,perfective,to begin; to start,FALSE
544,лёгкий,adjective,,,light; easy,FALSE
545,звать,verb,,imperfective,to call; to invite,FALSE
546,положе́ние,noun,neuter,,position; situation,FALSE
547,бы́вший,adjective,,,former; ex-,FALSE
548,писа́тель,noun,masculine,,writer,FALSE
549,далеко́,adverb,,,far; a long way,FALSE
550,бума́га,noun,feminine,,paper,FALSE
551,проходи́ть,verb,,imperfective,to pass; to go by,FALSE
552,уда́ться,verb,,perfective,to succeed; to manage,FALSE
553,план,noun,masculine,,plan,FALSE
554,черта́,noun,feminine,,line; feature,FALSE
555,о́коло,preposition,,,near; around; about,FALSE
556,подо́бный,adjective,,,similar; such,FALSE
557,широ́кий,adjective,,,wide; broad,FALSE
558,за́втра,adverb,,,tomorrow,FALSE
559,прийти́с,verb,,perfective,to have to; to be obliged,FALSE
560,докуме́нт,noun,masculine,,document,FALSE
561,снять,verb,,perfective,to take down; to take off; to film,FALSE
562,пло́хо,adverb,,,badly; poorly,FALSE
563,предста́вить,verb,,perfective,to imagine; to present,FALSE
564,пре́жний,adjective,,,former; previous,FALSE
565,произнести́,verb,,perfective,to utter; to pronounce,FALSE
566,небольшо́й,adjective,,,small; not large,FALSE
567,пусто́й,adjective,,,empty,FALSE
568,обы́чно,adverb,,,usually; normally,FALSE
569,знать,verb,,imperfective,to know,FALSE
570,во́лос,noun,masculine,,hair,FALSE
571,объясни́ть,verb,,perfective,to explain,FALSE
572,па́ра,noun,feminine,,pair; couple,FALSE
573,след,noun,masculine,,trace; track,FALSE
574,представля́ть,verb,,imperfective,to represent; to imagine,FALSE
575,реше́ние,noun,neuter,,decision; solution,FALSE
576,купи́ть,verb,,perfective,to buy,FALSE
577,существова́ть,verb,,imperfective,to exist,FALSE
